state,district,district_code,flood_years,total_years,flood_frequency_percent,lat,lon,coordinate_points
Johor,Batu Pahat,101002,3,8,37.5,1.854846,102.974484,14
Johor,Johor Bahru,101001,2,8,25,1.498491,103.743070,8
Johor,Kluang,101003,2,8,25,2.038042,103.334382,14
Johor,Kota Tinggi,101004,3,8,37.5,1.746820,103.896282,8
Johor,Muar,101005,7,8,87.5,2.108235,102.681530,18
Johor,Segamat,101006,2,8,25,2.525444,102.827109,8
Kedah,Baling,102004,7,8,87.5,5.716333,100.889817,6
Kedah,Kota Setar,102001,7,8,87.5,6.118712,100.373400,12
Kedah,Kuala Muda,102002,4,8,50,5.676965,100.494989,17
Kedah,Kubang Pasu,102003,4,8,50,6.406269,100.418144,42
Kedah,Kulim,102005,4,8,50,5.389341,100.586469,14
Negeri Sembilan,Port Dickson,105002,7,8,87.5,2.571403,101.833298,12
Negeri Sembilan,Seremban,105001,1,8,12.5,2.758604,101.865058,26
Pahang,Jerantut,107002,7,8,87.5,4.040537,102.391246,22
Pahang,Kuantan,106001,3,8,37.5,3.809621,103.279075,12
Pahang,Maran,107003,7,8,87.5,3.575998,102.784917,12
Pahang,Pekan,107001,7,8,87.5,3.446560,103.388626,12
Pahang,Rompin,106003,4,8,50,2.853485,103.174350,28
Pahang,Temerloh,106002,7,8,87.5,3.449078,102.425451,14
Terengganu,Besut,111001,3,8,37.5,5.655620,102.591298,8
Terengganu,Dungun,111002,1,8,12.5,4.762744,103.368715,8
Terengganu,Hulu Terengganu,111003,2,8,25,5.124344,102.955181,8
Terengganu,Kemaman,111004,1,8,12.5,4.247609,103.350972,8
Terengganu,Kuala Terengganu,111005,4,8,50,5.295762,103.088306,8
Terengganu,Marang,111006,4,8,50,5.122410,103.223305,8
Terengganu,Setiu,111007,4,8,50,5.506164,102.773810,8
