"STATE_CODE","state","YEAR","annual_rainfall_mean","flood_rate_percent","flood_records","district_records","forest_area_ha","forest_area_million_ha"
"101","Johor","2003","2394.04166666667","33.3333333333333","2","6","356922","0.356922"
"101","Johor","2004","2298.82666666667","16.6666666666667","1","6","355772","0.355772"
"101","Johor","2005","2224.32833333333","16.6666666666667","1","6","375864","0.375864"
"101","Johor","2006","2699.44166666667","100","6","6","391499","0.391499"
"101","Johor","2007","2703.085","100","6","6","391499","0.391499"
"101","Johor","2008","2538.47166666667","0","0","6","441251","0.441251"
"101","Johor","2009","2281.815","16.6666666666667","1","6","438751","0.438751"
"101","Johor","2010","2348.05833333333","33.3333333333333","2","6","432678","0.432678"
"102","Kedah","2003","2378.54","100","5","5","344530","0.34453"
"102","Kedah","2004","1843.844","0","0","5","342613","0.342613"
"102","Kedah","2005","2194.642","60","3","5","342613","0.342613"
"102","Kedah","2006","1981.22","40","2","5","342613","0.342613"
"102","Kedah","2007","2215.246","100","5","5","342613","0.342613"
"102","Kedah","2008","2403.698","80","4","5","342613","0.342613"
"102","Kedah","2009","2399.34","80","4","5","342613","0.342613"
"102","Kedah","2010","2294.944","60","3","5","342613","0.342613"
"103","Kelantan","2003","2331.5575","50","2","4","629687","0.629687"
"103","Kelantan","2004","1913.765","50","2","4","629367","0.629367"
"103","Kelantan","2005","2343.625","50","2","4","629687","0.629687"
"103","Kelantan","2006","2066.855","75","3","4","629687","0.629687"
"103","Kelantan","2007","2080.76","50","2","4","629687","0.629687"
"103","Kelantan","2008","2923.0975","50","2","4","623849","0.623849"
"103","Kelantan","2009","2599.0925","75","3","4","623849","0.623849"
"103","Kelantan","2010","2464.2025","0","0","4","623849","0.623849"
"104","Melaka","2003","2352.63","0","0","3","5468","0.005468"
"104","Melaka","2004","2159.92","66.6666666666667","2","3","5185","0.005185"
"104","Melaka","2005","2161.37","33.3333333333333","1","3","5185","0.005185"
"104","Melaka","2006","2593.9","66.6666666666667","2","3","5159","0.005159"
"104","Melaka","2007","2454.1","66.6666666666667","2","3","5079","0.005079"
"104","Melaka","2008","2555.96","66.6666666666667","2","3","5080","0.00508"
"104","Melaka","2009","2313.27","66.6666666666667","2","3","5080","0.00508"
"104","Melaka","2010","2411.96","33.3333333333333","1","3","5079","0.005079"
"105","Negeri Sembilan","2003","2435.95","0","0","2","165639","0.165639"
"105","Negeri Sembilan","2004","2260.815","50","1","2","162075","0.162075"
"105","Negeri Sembilan","2005","2176.495","50","1","2","160151","0.160151"
"105","Negeri Sembilan","2006","2750.225","50","1","2","156275","0.156275"
"105","Negeri Sembilan","2007","2503.73","100","2","2","154185","0.154185"
"105","Negeri Sembilan","2008","2693.94","50","1","2","155909","0.155909"
"105","Negeri Sembilan","2009","2416.285","50","1","2","157058","0.157058"
"105","Negeri Sembilan","2010","2517.81","50","1","2","153837","0.153837"
"106","Pahang","2003","2638.31666666667","100","6","6","1524132","1.524132"
"106","Pahang","2004","2292.02333333333","100","6","6","1524132","1.524132"
