STATE_CODE,YEAR,annual_rainfall_mean,flood_rate,flood_records,district_records,flood_rate_percent
101,2000,2464.688333333333,0.0,0,6,0.0
101,2001,2713.8250000000003,0.5,3,6,50.0
101,2002,2173.9733333333334,0.16666666666666666,1,6,16.666666666666664
101,2003,2394.0416666666665,0.3333333333333333,2,6,33.33333333333333
101,2004,2298.8266666666664,0.16666666666666666,1,6,16.666666666666664
101,2005,2224.3283333333334,0.16666666666666666,1,6,16.666666666666664
101,2006,2699.4416666666666,1.0,6,6,100.0
101,2007,2703.085,1.0,6,6,100.0
101,2008,2538.471666666667,0.0,0,6,0.0
101,2009,2281.815,0.16666666666666666,1,6,16.666666666666664
101,2010,2348.0583333333334,0.3333333333333333,2,6,33.33333333333333
102,2000,2611.3419999999996,0.0,0,5,0.0
102,2001,2204.882,0.0,0,5,0.0
102,2002,1758.4,0.6,3,5,60.0
102,2003,2378.54,1.0,5,5,100.0
102,2004,1843.8439999999998,0.0,0,5,0.0
102,2005,2194.642,0.6,3,5,60.0
102,2006,1981.22,0.4,2,5,40.0
102,2007,2215.246,1.0,5,5,100.0
102,2008,2403.698,0.8,4,5,80.0
102,2009,2399.34,0.8,4,5,80.0
102,2010,2294.944,0.6,3,5,60.0
103,2000,3045.185,0.0,0,4,0.0
103,2001,2282.6,0.5,2,4,50.0
103,2002,1956.5175,0.75,3,4,75.0
103,2003,2331.5575,0.5,2,4,50.0
103,2004,1913.765,0.5,2,4,50.0
103,2005,2343.625,0.5,2,4,50.0
103,2006,2066.855,0.75,3,4,75.0
103,2007,2080.76,0.5,2,4,50.0
103,2008,2923.0975,0.5,2,4,50.0
103,2009,2599.0924999999997,0.75,3,4,75.0
103,2010,2464.2025000000003,0.0,0,4,0.0
104,2000,2425.44,0.0,0,3,0.0
104,2001,2519.13,1.0,3,3,100.0
104,2002,2353.94,0.6666666666666666,2,3,66.66666666666666
104,2003,2352.63,0.0,0,3,0.0
104,2004,2159.92,0.6666666666666666,2,3,66.66666666666666
104,2005,2161.37,0.3333333333333333,1,3,33.33333333333333
104,2006,2593.9,0.6666666666666666,2,3,66.66666666666666
104,2007,2454.1,0.6666666666666666,2,3,66.66666666666666
104,2008,2555.96,0.6666666666666666,2,3,66.66666666666666
104,2009,2313.27,0.6666666666666666,2,3,66.66666666666666
104,2010,2411.96,0.3333333333333333,1,3,33.33333333333333
105,2000,2502.75,0.0,0,2,0.0
105,2001,2525.425,0.5,1,2,50.0
105,2002,2405.885,0.5,1,2,50.0
