state,forest_area_2021,forest_area_million_ha_2021,pop,pop_18,pop_60,forest_ha_per_1000_people,population_million,adult_share_percent,senior_share_percent
Sarawak,3964880.0,3.96488,2816500,2042700,332800,1407.7330019527783,2.8165,72.52618498135985,11.816083791940352
Pahang,1588298.0,1.588298,1678700,1175800,190200,946.1476142252934,1.6787,70.04229463275153,11.330195984988384
Sabah,3574468.0,3.574468,3908500,2758400,238900,914.5370346680313,3.9085,70.57438915184854,6.11231930408085
Terengganu,540309.0,0.540309,1259300,808400,115200,429.0550305725403,1.2593,64.19439371079172,9.147939331374573
Perak,986848.0,0.986848,2510300,1862700,397300,393.1195474644465,2.5103,74.20228657929331,15.82679361032546
Kelantan,629881.0,0.629881,1906700,1236200,194100,330.3513924581738,1.9067,64.83453086484502,10.179891959930771
Kedah,341976.0,0.341976,2185100,1540600,272500,156.50359251292846,2.1851,70.50478238982197,12.470825133861151
Negeri Sembilan,155143.0,0.155143,1128800,814400,145000,137.44064493267186,1.1288,72.14741318214033,12.84549964564139
Johor,334502.0,0.334502,3781000,2711900,428700,88.46918804549061,3.781,71.72441153134092,11.338270298862735
Perlis,10629.0,0.010629,254900,181200,35100,41.698705374656726,0.2549,71.08670066692821,13.770105923891723
Selangor,250208.0,0.250208,6538000,4747900,575800,38.26980728051392,6.538,72.62006729886815,8.80697460997247
Melaka,5199.0,0.005199,932700,677400,118500,5.574139594724992,0.9327,72.62785461563203,12.705049855258926
Pulau Pinang,5387.0,0.005387,1773600,1367200,239200,3.0373252142534954,1.7736,77.08615245827694,13.486693730266126
W.P. Kuala Lumpur,68.0,6.8e-05,1773700,1348600,205800,0.03833793764447201,1.7737,76.03315104019845,11.602864069459322
W.P. Labuan,0.0,0.0,99600,68500,7900,0.0,0.0996,68.77510040160642,7.931726907630522
W.P. Putrajaya,0.0,0.0,110000,67700,5000,0.0,0.11,61.54545454545455,4.545454545454546
