date,year,state,area,area_million_ha
2003-01-01,2003,Johor,356922.0,0.356922
2003-01-01,2003,Kedah,344530.0,0.34453
2003-01-01,2003,Kelantan,629687.0,0.629687
2003-01-01,2003,Melaka,5468.0,0.005468
2003-01-01,2003,Negeri Sembilan,165639.0,0.165639
2003-01-01,2003,Pahang,1524132.0,1.524132
2003-01-01,2003,Perak,884205.0,0.884205
2003-01-01,2003,Perlis,10718.0,0.010718
2003-01-01,2003,Pulau Pinang,5139.0,0.005139
2003-01-01,2003,Sabah,3563186.0,3.563186
2003-01-01,2003,Sarawak,4836800.0,4.8368
2003-01-01,2003,Selangor,233781.0,0.233781
2003-01-01,2003,Terengganu,535929.0,0.535929
2003-01-01,2003,W.P. Kuala Lumpur,61.0,6.1e-05
2004-01-01,2004,Johor,355772.0,0.355772
2004-01-01,2004,Kedah,342613.0,0.342613
2004-01-01,2004,Kelantan,629367.0,0.629367
2004-01-01,2004,Melaka,5185.0,0.005185
2004-01-01,2004,Negeri Sembilan,162075.0,0.162075
2004-01-01,2004,Pahang,1524132.0,1.524132
2004-01-01,2004,Perak,884205.0,0.884205
2004-01-01,2004,Perlis,10718.0,0.010718
2004-01-01,2004,Pulau Pinang,5434.0,0.005434
2004-01-01,2004,Sabah,3543186.0,3.543186
2004-01-01,2004,Sarawak,4806300.0,4.8063
2004-01-01,2004,Selangor,233781.0,0.233781
2004-01-01,2004,Terengganu,530162.0,0.530162
2004-01-01,2004,W.P. Kuala Lumpur,61.0,6.1e-05
2005-01-01,2005,Johor,375864.0,0.375864
2005-01-01,2005,Kedah,342613.0,0.342613
2005-01-01,2005,Kelantan,629687.0,0.629687
2005-01-01,2005,Melaka,5185.0,0.005185
2005-01-01,2005,Negeri Sembilan,160151.0,0.160151
2005-01-01,2005,Pahang,1519501.0,1.519501
2005-01-01,2005,Perak,884205.0,0.884205
2005-01-01,2005,Perlis,10718.0,0.010718
2005-01-01,2005,Pulau Pinang,5434.0,0.005434
2005-01-01,2005,Sabah,3523186.0,3.523186
2005-01-01,2005,Sarawak,4779900.0,4.7799
2005-01-01,2005,Selangor,239782.0,0.239782
2005-01-01,2005,Terengganu,538063.0,0.538063
2005-01-01,2005,W.P. Kuala Lumpur,61.0,6.1e-05
2006-01-01,2006,Johor,391499.0,0.391499
2006-01-01,2006,Kedah,342613.0,0.342613
2006-01-01,2006,Kelantan,629687.0,0.629687
2006-01-01,2006,Melaka,5159.0,0.005159
2006-01-01,2006,Negeri Sembilan,156275.0,0.156275
2006-01-01,2006,Pahang,1519501.0,1.519501
2006-01-01,2006,Perak,884205.0,0.884205
2006-01-01,2006,Perlis,10718.0,0.010718
2006-01-01,2006,Pulau Pinang,5434.0,0.005434
2006-01-01,2006,Sabah,3503186.0,3.503186
2006-01-01,2006,Sarawak,4778300.0,4.7783
2006-01-01,2006,Selangor,235212.0,0.235212
2006-01-01,2006,Terengganu,545818.0,0.545818
2006-01-01,2006,W.P. Kuala Lumpur,61.0,6.1e-05
2007-01-01,2007,Johor,391499.0,0.391499
2007-01-01,2007,Kedah,342613.0,0.342613
2007-01-01,2007,Kelantan,629687.0,0.629687
2007-01-01,2007,Melaka,5079.0,0.005079
2007-01-01,2007,Negeri Sembilan,154185.0,0.154185
2007-01-01,2007,Pahang,1484099.0,1.484099
2007-01-01,2007,Perak,884205.0,0.884205
2007-01-01,2007,Perlis,10718.0,0.010718
2007-01-01,2007,Pulau Pinang,6098.0,0.006098
