date,year,period,state,area,area_million_ha,direction
2003-01-01,2003,2003,Johor,356922.0,0.356922,Decrease
2003-01-01,2003,2003,Kedah,344530.0,0.34453,Decrease
2003-01-01,2003,2003,Kelantan,629687.0,0.629687,Increase
2003-01-01,2003,2003,Melaka,5468.0,0.005468,Decrease
2003-01-01,2003,2003,Negeri Sembilan,165639.0,0.165639,Decrease
2003-01-01,2003,2003,Pahang,1524132.0,1.524132,Increase
2003-01-01,2003,2003,Perak,884205.0,0.884205,Increase
2003-01-01,2003,2003,Perlis,10718.0,0.010718,Decrease
2003-01-01,2003,2003,Pulau Pinang,5139.0,0.005139,Increase
2003-01-01,2003,2003,Sabah,3563186.0,3.563186,Increase
2003-01-01,2003,2003,Sarawak,4836800.0,4.8368,Decrease
2003-01-01,2003,2003,Selangor,233781.0,0.233781,Increase
2003-01-01,2003,2003,Terengganu,535929.0,0.535929,Increase
2003-01-01,2003,2003,W.P. Kuala Lumpur,61.0,6.1e-05,Increase
2003-01-01,2003,2003,W.P. Labuan,0.0,0.0,Increase
2003-01-01,2003,2003,W.P. Putrajaya,0.0,0.0,Increase
2021-01-01,2021,2021,Johor,334502.0,0.334502,Decrease
2021-01-01,2021,2021,Kedah,341976.0,0.341976,Decrease
2021-01-01,2021,2021,Kelantan,629881.0,0.629881,Increase
2021-01-01,2021,2021,Melaka,5199.0,0.005199,Decrease
2021-01-01,2021,2021,Negeri Sembilan,155143.0,0.155143,Decrease
2021-01-01,2021,2021,Pahang,1588298.0,1.588298,Increase
2021-01-01,2021,2021,Perak,986848.0,0.986848,Increase
2021-01-01,2021,2021,Perlis,10629.0,0.010629,Decrease
2021-01-01,2021,2021,Pulau Pinang,5387.0,0.005387,Increase
2021-01-01,2021,2021,Sabah,3574468.0,3.574468,Increase
2021-01-01,2021,2021,Sarawak,3964880.0,3.96488,Decrease
2021-01-01,2021,2021,Selangor,250208.0,0.250208,Increase
2021-01-01,2021,2021,Terengganu,540309.0,0.540309,Increase
2021-01-01,2021,2021,W.P. Kuala Lumpur,68.0,6.8e-05,Increase
2021-01-01,2021,2021,W.P. Labuan,0.0,0.0,Increase
2021-01-01,2021,2021,W.P. Putrajaya,0.0,0.0,Increase
